"Id","DeveloperName","Name","SobjectType"
"012Dn000000tHzXIAU","Discretionary","Discretionary","Expense__c"
"012Dn000000tHzcIAE","Nondiscretionary","Nondiscretionary","Expense__c"
"012Dn000000tHzhIAE","Regular","Regular","Income__c"
"012Dn000000tHzmIAE","Reimbursement","Reimbursement","Income__c"
"012Dn000000tI9JIAU","Card_Payoff","Card Payoff","Transfer__c"
"012Dn000000tI9EIAU","Lateral_Transfer","Lateral Transfer","Transfer__c"
"012Dn000000tIWLIA2","Credit_Card","Credit Card","Account"
"012Dn000000tIWQIA2","General_Equity","General Equity","Account"
