Date__c,Amount__c,Method__c,Source_Account__c,Target_Account__c,Subject__c,RecordTypeId
2022-08-10,300.00,Card Payoff,001Dn0000033D9jIAE,001Dn0000033D9dIAE,Paid off card - FNBO Visa,012Dn000000tI9JIAU
2022-08-22,550.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9YIAU,Paid off card - WF Visa,012Dn000000tI9JIAU
2022-09-02,400.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9eIAE,Paid off card - BR Visa,012Dn000000tI9JIAU
2022-09-03,140.00,ATM Withdrawal,001Dn0000033D9ZIAU,001Dn0000033D9iIAE,Transfer Balance,012Dn000000tI9EIAU
2022-09-06,1000.00,Online Transfer,001Dn0000033D9ZIAU,001Dn0000033D9aIAE,Transfer Balance,012Dn000000tI9EIAU
2022-09-06,2000.00,Online Transfer,001Dn0000033D9jIAE,001Dn0000033D9nIAE,Transfer Balance,012Dn000000tI9EIAU
2022-09-12,350.00,Card Payoff,001Dn0000033D9jIAE,001Dn0000033D9dIAE,Paid off card - FNBO Visa,012Dn000000tI9JIAU
2022-09-16,176.80,Stricken Charge,,001Dn0000033D9ZIAU,Reimbursed by Wells Fargo for charge dispute,012Dn000000tI9JIAU
2022-09-22,350.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9YIAU,Paid off card - WF Visa,012Dn000000tI9JIAU
2022-10-03,900.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9eIAE,Paid off card - BR Visa,012Dn000000tI9JIAU
2022-10-07,60.00,ATM Withdrawal,001Dn0000033D9ZIAU,001Dn0000033D9iIAE,Transfer Balance,012Dn000000tI9EIAU
2022-10-09,255.50,Venmo Transfer,001Dn0000033D9fIAE,001Dn0000033D9ZIAU,Transfer Balance,012Dn000000tI9EIAU
2022-10-12,60.00,ATM Withdrawal,001Dn0000033D9ZIAU,001Dn0000033D9iIAE,Transfer Balance,012Dn000000tI9EIAU
2022-10-12,700.00,Card Payoff,001Dn0000033D9jIAE,001Dn0000033D9dIAE,Paid off card - FNBO Visa,012Dn000000tI9JIAU
2022-10-20,1000.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9YIAU,Paid off card - WF Visa,012Dn000000tI9JIAU
2022-11-04,700.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9eIAE,Paid off card - BR Visa,012Dn000000tI9JIAU
2022-11-11,850.00,Card Payoff,001Dn0000033D9jIAE,001Dn0000033D9dIAE,Paid off card - FNBO Visa,012Dn000000tI9JIAU
2022-11-22,850.00,Card Payoff,001Dn0000033D9ZIAU,001Dn0000033D9YIAU,Paid off card - WF Visa,012Dn000000tI9JIAU
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
