Date__c,Amount__c,Method__c,_Method__c,_Form,Account__c,Establishment__c,Subject__c,Recurring__c,_Type,RecordTypeId,Category__c,_Category,_WF Visa,_FNBO Visa,_BR Visa,_WF Checking,_WF Savings,_FNBO Checking,_FNBO Savings,_Fidelity,_Cash,_Venmo,Reflected_Online__c
2022-06-16,10.36,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Phillips 66,Phillips 66 - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,,10.36,,,,,,,,TRUE
2022-06-16,27.95,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Jiffy Trip,Jiffy Trip - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,27.95,,,,,,,,,,TRUE
2022-06-17,2,Cash,Cash,Cash,001Dn0000033D9iIAE,806 Coffee,Tipped staff at 806 Coffee,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-2,,FALSE
2022-06-17,11.14,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,WhataBurger,Whataburger,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,11.14,,,,,,,,,,TRUE
2022-06-18,10,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Amp'd,Amp'd trampoline park,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,10,,,,,,,,,,TRUE
2022-06-18,10,Cash,Cash,Cash,001Dn0000033D9iIAE,Amp'd,Amp'd arcade points,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-10,,FALSE
2022-06-18,10.81,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Buns Over Texas,Buns Over Texas - lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,10.81,,,,,,,,,,TRUE
2022-06-19,8.29,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Braum's,Braum's - dinner on the road,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,8.29,,,,,,,,,,TRUE
2022-06-19,10.38,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Cefco,Cefco - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,10.38,,,,,,,,,,TRUE
2022-06-19,11.04,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Offerle Country Store,Offerle Country Store - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,11.04,,,,,,,,,TRUE
